Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;578,770;-3075,960;-305,456;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.020;;
2;578,770;-3075,961;-305,455;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.030;;
3;578,770;-3075,962;-305,457;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.040;;
4;578,773;-3075,959;-305,457;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.050;;
5;578,775;-3075,956;-305,455;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.060;;
6;578,773;-3075,955;-305,457;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.070;;
7;578,770;-3075,956;-305,459;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.080;;
8;578,772;-3075,957;-305,457;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.090;;
9;578,777;-3075,958;-305,450;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.100;;
10;578,781;-3075,958;-305,445;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.110;;
11;578,778;-3075,958;-305,445;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.120;;
12;578,772;-3075,958;-305,450;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.130;;
13;578,768;-3075,959;-305,455;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.140;;
14;578,770;-3075,959;-305,459;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.150;;
15;578,773;-3075,959;-305,461;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.160;;
16;578,773;-3075,958;-305,464;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.170;;
17;578,770;-3075,956;-305,462;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.180;;
18;578,769;-3075,956;-305,461;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.190;;
19;578,773;-3075,957;-305,455;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.200;;
20;578,777;-3075,959;-305,450;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.210;;
21;578,778;-3075,960;-305,447;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.220;;
22;578,776;-3075,959;-305,447;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.230;;
23;578,774;-3075,956;-305,450;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.240;;
24;578,774;-3075,955;-305,456;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.250;;
25;578,775;-3075,955;-305,460;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.260;;
26;578,776;-3075,956;-305,461;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.270;;
27;578,774;-3075,958;-305,461;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.280;;
28;578,772;-3075,959;-305,459;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.290;;
29;578,770;-3075,959;-305,460;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.300;;
30;578,772;-3075,959;-305,456;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:58:00.310;;
