'07/26/2023 14:17:03.308',"324,984,240,000,000","-299,495,280,000,000","624,479,520,000,000",0.127444800000000
'07/26/2023 14:17:03.324',"326,577,300,000,000","-309,053,640,000,000","635,630,940,000,000",0.0876183000000000
'07/26/2023 14:17:03.340',"344,100,960,000,000","-294,716,100,000,000","638,817,060,000,000",0.246924300000000
'07/26/2023 14:17:03.356',"334,542,600,000,000","-307,460,580,000,000","642,003,180,000,000",0.135410100000000
'07/26/2023 14:17:03.373',"334,542,600,000,000","-305,867,520,000,000","640,410,120,000,000",0.143375400000000
'07/26/2023 14:17:03.389',"326,577,300,000,000","-318,612,000,000,000","645,189,300,000,000",0.0398265000000000
'07/26/2023 14:17:03.405',"340,914,840,000,000","-301,088,340,000,000","642,003,180,000,000",0.199132500000000
'07/26/2023 14:17:03.421',"344,100,960,000,000","-297,902,220,000,000","642,003,180,000,000",0.230993700000000
'07/26/2023 14:17:03.438',"336,135,660,000,000","-291,529,980,000,000","627,665,640,000,000",0.223028400000000
'07/26/2023 14:17:03.454',"342,507,900,000,000","-285,157,740,000,000","627,665,640,000,000",0.286750800000000
'07/26/2023 14:17:03.470',"344,100,960,000,000","-286,750,800,000,000","630,851,760,000,000",0.286750800000000
'07/26/2023 14:17:03.486',"340,914,840,000,000","-291,529,980,000,000","632,444,820,000,000",0.246924300000000
'07/26/2023 14:17:03.503',"332,949,540,000,000","-291,529,980,000,000","624,479,520,000,000",0.207097800000000
'07/26/2023 14:17:03.519',"324,984,240,000,000","-296,309,160,000,000","621,293,400,000,000",0.143375400000000
'07/26/2023 14:17:03.535',"332,949,540,000,000","-289,936,920,000,000","622,886,460,000,000",0.215063100000000
'07/26/2023 14:17:03.551',"328,170,360,000,000","-297,902,220,000,000","626,072,580,000,000",0.151340700000000
'07/26/2023 14:17:03.568',"326,577,300,000,000","-302,681,400,000,000","629,258,700,000,000",0.119479500000000
'07/26/2023 14:17:03.584',"326,577,300,000,000","-297,902,220,000,000","624,479,520,000,000",0.143375400000000
'07/26/2023 14:17:03.600',"336,135,660,000,000","-293,123,040,000,000","629,258,700,000,000",0.215063100000000
'07/26/2023 14:17:03.616',"331,356,480,000,000","-297,902,220,000,000","629,258,700,000,000",0.167271300000000
'07/26/2023 14:17:03.633',"321,798,120,000,000","-296,309,160,000,000","618,107,280,000,000",0.127444800000000
'07/26/2023 14:17:03.649',"318,612,000,000,000","-296,309,160,000,000","614,921,160,000,000",0.111514200000000
'07/26/2023 14:17:03.665',"328,170,360,000,000","-302,681,400,000,000","630,851,760,000,000",0.127444800000000
'07/26/2023 14:17:03.681',"321,798,120,000,000","-309,053,640,000,000","630,851,760,000,000",0.0637224000000000
'07/26/2023 14:17:03.698',"320,205,060,000,000","-304,274,460,000,000","624,479,520,000,000",0.0796530000000000
'07/26/2023 14:17:03.714',"315,425,880,000,000","-304,274,460,000,000","619,700,340,000,000",0.0557571000000000
'07/26/2023 14:17:03.730',"315,425,880,000,000","-304,274,460,000,000","619,700,340,000,000",0.0557571000000000
'07/26/2023 14:17:03.746',"307,460,580,000,000","-310,646,700,000,000","618,107,280,000,000",-0.0159306000000000
'07/26/2023 14:17:03.763',"310,646,700,000,000","-304,274,460,000,000","614,921,160,000,000",0.0318612000000000
'07/26/2023 14:17:03.779',"299,495,280,000,000","-309,053,640,000,000","608,548,920,000,000",-0.0477918000000000
'07/26/2023 14:17:03.795',"318,612,000,000,000","-307,460,580,000,000","626,072,580,000,000",0.0557571000000000
'07/26/2023 14:17:03.811',"309,053,640,000,000","-312,239,760,000,000","621,293,400,000,000",-0.0159306000000000
'07/26/2023 14:17:03.828',"313,832,820,000,000","-305,867,520,000,000","619,700,340,000,000",0.0398265000000000
'07/26/2023 14:17:03.844',"304,274,460,000,000","-309,053,640,000,000","613,328,100,000,000",-0.0238959000000000
'07/26/2023 14:17:03.860',"309,053,640,000,000","-310,646,700,000,000","619,700,340,000,000",-0.00796530000000000
'07/26/2023 14:17:03.876',"307,460,580,000,000","-320,205,060,000,000","627,665,640,000,000",-0.0637224000000000
'07/26/2023 14:17:03.893',"310,646,700,000,000","-310,646,700,000,000","621,293,400,000,000",0
'07/26/2023 14:17:03.909',"299,495,280,000,000","-307,460,580,000,000","606,955,860,000,000",-0.0398265000000000
'07/26/2023 14:17:03.925',"305,867,520,000,000","-309,053,640,000,000","614,921,160,000,000",-0.0159306000000000
'07/26/2023 14:17:03.941',"304,274,460,000,000","-310,646,700,000,000","614,921,160,000,000",-0.0318612000000000
'07/26/2023 14:17:03.958',"309,053,640,000,000","-315,425,880,000,000","624,479,520,000,000",-0.0318612000000000
'07/26/2023 14:17:03.974',"305,867,520,000,000","-317,018,940,000,000","622,886,460,000,000",-0.0557571000000000
'07/26/2023 14:17:03.990',"304,274,460,000,000","-313,832,820,000,000","618,107,280,000,000",-0.0477918000000000
'07/26/2023 14:17:04.006',"304,274,460,000,000","-313,832,820,000,000","618,107,280,000,000",-0.0477918000000000
'07/26/2023 14:17:04.023',"305,867,520,000,000","-307,460,580,000,000","613,328,100,000,000",-0.00796530000000000
'07/26/2023 14:17:04.039',"301,088,340,000,000","-307,460,580,000,000","608,548,920,000,000",-0.0318612000000000
'07/26/2023 14:17:04.055',"302,681,400,000,000","-313,832,820,000,000","616,514,220,000,000",-0.0557571000000000
'07/26/2023 14:17:04.071',"304,274,460,000,000","-310,646,700,000,000","614,921,160,000,000",-0.0318612000000000
'07/26/2023 14:17:04.088',"304,274,460,000,000","-307,460,580,000,000","611,735,040,000,000",-0.0159306000000000
'07/26/2023 14:17:04.104',"302,681,400,000,000","-310,646,700,000,000","613,328,100,000,000",-0.0398265000000000
'07/26/2023 14:17:04.120',"313,832,820,000,000","-317,018,940,000,000","630,851,760,000,000",-0.0159306000000000
'07/26/2023 14:17:04.136',"305,867,520,000,000","-310,646,700,000,000","616,514,220,000,000",-0.0238959000000000
'07/26/2023 14:17:04.153',"302,681,400,000,000","-305,867,520,000,000","608,548,920,000,000",-0.0159306000000000
'07/26/2023 14:17:04.169',"301,088,340,000,000","-302,681,400,000,000","603,769,740,000,000",-0.00796530000000000
'07/26/2023 14:17:04.185',"296,309,160,000,000","-309,053,640,000,000","605,362,800,000,000",-0.0637224000000000
