Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.310;;
2;574,425;-3150,909;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.320;;
3;574,425;-3150,909;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.330;;
4;574,426;-3150,909;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.340;;
5;574,426;-3150,908;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.350;;
6;574,427;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.360;;
7;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.370;;
8;574,427;-3150,907;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.380;;
9;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.390;;
10;574,427;-3150,906;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.400;;
11;574,427;-3150,907;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.410;;
12;574,426;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.420;;
13;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.430;;
14;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.440;;
15;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.450;;
16;574,425;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.460;;
17;574,424;-3150,909;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.470;;
18;574,425;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.480;;
19;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.490;;
20;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.500;;
21;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.510;;
22;574,426;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.520;;
23;574,426;-3150,907;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.530;;
24;574,427;-3150,907;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.540;;
25;574,427;-3150,907;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.550;;
26;574,428;-3150,907;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.560;;
27;574,428;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.570;;
28;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.580;;
29;574,426;-3150,907;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.590;;
30;574,425;-3150,908;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.600;;
31;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.610;;
32;574,425;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.620;;
33;574,426;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.630;;
34;574,425;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.640;;
35;574,426;-3150,908;-305,334;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.650;;
36;574,427;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.660;;
37;574,427;-3150,907;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.670;;
38;574,429;-3150,907;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.680;;
39;574,428;-3150,906;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.690;;
40;574,428;-3150,906;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.700;;
41;574,426;-3150,906;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.710;;
42;574,427;-3150,907;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.720;;
43;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.730;;
44;574,425;-3150,909;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.740;;
45;574,426;-3150,909;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.750;;
46;574,426;-3150,909;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.760;;
47;574,427;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.770;;
48;574,426;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.780;;
49;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.790;;
50;574,427;-3150,907;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.800;;
51;574,428;-3150,906;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.810;;
52;574,427;-3150,906;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.820;;
53;574,428;-3150,906;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.830;;
54;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.840;;
55;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.850;;
56;574,427;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.860;;
57;574,427;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.870;;
58;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.880;;
59;574,426;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.890;;
60;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.900;;
61;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.910;;
62;574,428;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.920;;
63;574,427;-3150,907;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.930;;
64;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.940;;
65;574,427;-3150,907;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.950;;
66;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.960;;
67;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.970;;
68;574,426;-3150,908;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.980;;
69;574,426;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:56.990;;
70;574,426;-3150,909;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.000;;
71;574,427;-3150,908;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.010;;
72;574,427;-3150,906;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.020;;
73;574,426;-3150,906;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.030;;
74;574,427;-3150,909;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.040;;
75;574,426;-3150,909;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.050;;
76;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.060;;
77;574,426;-3150,906;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.070;;
78;574,426;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.080;;
79;574,426;-3150,909;-305,335;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.090;;
80;574,426;-3150,909;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.100;;
81;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.110;;
82;574,427;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.120;;
83;574,426;-3150,907;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.130;;
84;574,427;-3150,907;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.140;;
85;574,426;-3150,907;-305,338;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.150;;
86;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.160;;
87;574,427;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.170;;
88;574,426;-3150,907;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.180;;
89;574,425;-3150,907;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.190;;
90;574,426;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.200;;
91;574,426;-3150,909;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.210;;
92;574,427;-3150,908;-305,337;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.220;;
93;574,427;-3150,906;-305,336;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 16:04:57.230;;
