0,1,2,3,4,5,6
2023-07-26 14:09:06.272463,3955155.0,3955607.0,48.713221842447915,48.71722192382813,50.67933190917969,50.683331949869796
2023-07-26 14:09:06.276449,3955156.0,3955608.0,48.71756990559896,48.72156994628906,50.683679931640626,50.68767997233073
2023-07-26 14:09:06.281432,3955157.0,3955609.0,48.721917928059895,48.725917968750004,50.688027954101564,50.692027994791665
2023-07-26 14:09:06.285419,3955158.0,3955610.0,48.72626595052083,48.730265991210935,50.69237573242187,50.69637573242188
2023-07-26 14:09:06.290398,3955159.0,3955611.0,48.73061397298177,48.73461401367187,50.6967236735026,50.70072371419271
2023-07-26 14:09:06.294384,3955160.0,3955612.0,48.73496179199219,48.73896179199219,50.70107169596354,50.70507177734375
2023-07-26 14:09:06.298376,3955161.0,3955613.0,48.73930969238281,48.74330977376302,50.70541971842447,50.70941979980469
2023-07-26 14:09:06.303358,3955162.0,3955614.0,48.74365771484375,48.747657796223955,50.70976778157552,50.71376782226562
2023-07-26 14:09:06.307345,3955163.0,3955615.0,48.74800577799479,48.7520058186849,50.71411580403646,50.71811584472657
2023-07-26 14:09:06.311328,3955164.0,3955616.0,48.75235380045572,48.75635384114584,50.7184638264974,50.7224638671875
2023-07-26 14:09:06.316315,3955165.0,3955617.0,48.75670182291667,48.76070186360677,50.72281184895833,50.72681188964844
2023-07-26 14:09:06.320302,3955166.0,3955618.0,48.761049845377606,48.76504988606771,50.727159871419275,50.73115995279948
2023-07-26 14:09:06.324284,3955167.0,3955619.0,48.76539786783854,48.76939794921875,50.731507893880206,50.73550797526042
2023-07-26 14:09:06.329272,3955168.0,3955620.0,48.769745890299475,48.77374597167969,50.735855957031255,50.73985599772136
2023-07-26 14:09:06.333258,3955169.0,3955621.0,48.774093953450524,48.778093994140626,50.740203857421875,50.74420385742187
2023-07-26 14:09:06.338242,3955170.0,3955622.0,48.778441975911456,48.782442016601564,50.744551676432295,50.748551717122396
2023-07-26 14:09:06.342234,3955171.0,3955623.0,48.782789916992186,48.786789916992184,50.748899698893226,50.752899739583334
2023-07-26 14:09:06.346215,3955172.0,3955624.0,48.7871376953125,48.791137736002604,50.753247721354164,50.75724776204427
2023-07-26 14:09:06.351194,3955173.0,3955625.0,48.79148571777344,48.79548575846354,50.7575957438151,50.76159582519531
2023-07-26 14:09:06.355185,3955174.0,3955626.0,48.79583374023437,48.799833821614584,50.76194376627605,50.76594384765625
2023-07-26 14:09:06.359172,3955175.0,3955627.0,48.80018176269532,48.80418184407552,50.76629182942708,50.770291870117184
2023-07-26 14:09:06.364155,3955176.0,3955628.0,48.80452982584635,48.80852986653646,50.77063985188802,50.77463989257812
2023-07-26 14:09:06.368142,3955177.0,3955629.0,48.80887784830729,48.81287788899739,50.77498787434896,50.77898791503906
2023-07-26 14:09:06.372124,3955178.0,3955630.0,48.81322587076823,48.81722591145833,50.77933589680989,50.783335937500006
2023-07-26 14:09:06.377111,3955179.0,3955631.0,48.81757389322917,48.82157393391927,50.783683919270835,50.78768400065104
2023-07-26 14:09:06.381098,3955180.0,3955632.0,48.821921915690105,48.82592199707032,50.78803194173177,50.792031982421875
2023-07-26 14:09:06.386082,3955181.0,3955633.0,48.82626993815104,48.83027001953125,50.792379638671875,50.79637972005208
2023-07-26 14:09:06.390068,3955182.0,3955634.0,48.830618001302085,48.83461804199219,50.79672770182292,50.80072774251302
2023-07-26 14:09:06.394055,3955183.0,3955635.0,48.834965698242186,48.838965738932295,50.801075724283855,50.80507576497396
2023-07-26 14:09:06.399038,3955184.0,3955636.0,48.839313720703124,48.843313761393226,50.805423746744786,50.8094237874349
2023-07-26 14:09:06.403025,3955185.0,3955637.0,48.84366174316406,48.847661783854164,50.80977176920573,50.81377180989583
2023-07-26 14:09:06.407011,3955186.0,3955638.0,48.848009765625,48.8520098063151,50.81411979166667,50.818119873046875
2023-07-26 14:09:06.411995,3955187.0,3955639.0,48.85235778808593,48.85635786946615,50.81846781412761,50.82246789550781
2023-07-26 14:09:06.415982,3955188.0,3955640.0,48.85670581054688,48.86070589192708,50.82281587727864,50.826815917968744
2023-07-26 14:09:06.420960,3955189.0,3955641.0,48.86105387369791,48.86505391438802,50.82716389973959,50.83116394042969
2023-07-26 14:09:06.424951,3955190.0,3955642.0,48.86540189615886,48.86940193684896,50.83151192220052,50.83551196289063
2023-07-26 14:09:06.428938,3955191.0,3955643.0,48.869760335286465,48.873760375976566,50.83585994466146,50.839859985351566
2023-07-26 14:09:06.433919,3955192.0,3955644.0,48.874097941080734,48.878097981770836,50.84020776367188,50.844207763671875
2023-07-26 14:09:06.437908,3955193.0,3955645.0,48.878445963541665,48.88244604492188,50.8445556640625,50.84855574544271
2023-07-26 14:09:06.441894,3955194.0,3955646.0,48.88279382324219,48.886793823242186,50.848903686523435,50.85290376790364
2023-07-26 14:09:06.446878,3955195.0,3955647.0,48.887141682942705,48.89114176432292,50.853251749674484,50.857251790364586
2023-07-26 14:09:06.450864,3955196.0,3955648.0,48.89148974609375,48.895489786783855,50.857599772135416,50.86159981282552
2023-07-26 14:09:06.454851,3955197.0,3955649.0,48.895837768554685,48.89983780924479,50.861958211263016,50.865958251953124
2023-07-26 14:09:06.459834,3955198.0,3955650.0,48.90018579101563,48.90418583170573,50.86629581705729,50.870295857747394
2023-07-26 14:09:06.463817,3955199.0,3955651.0,48.90453381347656,48.90853385416666,50.87064383951822,50.87464392089844
2023-07-26 14:09:06.468800,3955200.0,3955652.0,48.9088818359375,48.912881917317705,50.87499186197917,50.878991943359374
2023-07-26 14:09:06.472791,3955201.0,3955653.0,48.91322985839844,48.91722993977864,50.87933992513021,50.88333996582031
2023-07-26 14:09:06.476778,3955202.0,3955654.0,48.91757792154947,48.92157796223959,50.88368794759115,50.88768798828125
2023-07-26 14:09:06.481757,3955203.0,3955655.0,48.92192594401042,48.92592598470052,50.88803588867187,50.89203588867188
2023-07-26 14:09:06.485748,3955204.0,3955656.0,48.926273966471356,48.93027400716146,50.89238366699219,50.89638370768229
2023-07-26 14:09:06.489734,3955205.0,3955657.0,48.93062194824219,48.93462194824219,50.89673168945313,50.90073173014323
2023-07-26 14:09:06.494718,3955206.0,3955658.0,48.934969685872396,48.938969726562505,50.901079711914065,50.90507979329427
2023-07-26 14:09:06.498704,3955207.0,3955659.0,48.939317708333334,48.94331778971354,50.905427734374996,50.90942781575521
2023-07-26 14:09:06.502691,3955208.0,3955660.0,48.943665730794265,48.947665812174485,50.909775797526045,50.91377583821615
2023-07-26 14:09:06.507674,3955209.0,3955661.0,48.948013793945314,48.952013834635416,50.91412381998698,50.918123860677085
2023-07-26 14:09:06.511661,3955210.0,3955662.0,48.95236181640625,48.956361857096354,50.918471842447914,50.92247188313802
2023-07-26 14:09:06.515647,3955211.0,3955663.0,48.95670983886719,48.96070987955729,50.92281986490885,50.926819905598954
2023-07-26 14:09:06.520631,3955212.0,3955664.0,48.96105786132812,48.96505790201823,50.92716788736979,50.93116796875
2023-07-26 14:09:06.524617,3955213.0,3955665.0,48.96540588378907,48.96940596516927,50.93151590983073,50.935515991210934
2023-07-26 14:09:06.529596,3955214.0,3955666.0,48.96975390625,48.97375398763021,50.93586397298177,50.93986401367187
2023-07-26 14:09:06.533587,3955215.0,3955667.0,48.97410196940104,48.97810201009115,50.94021166992188,50.94421171061198
2023-07-26 14:09:06.537574,3955216.0,3955668.0,48.97844999186198,48.98245003255208,50.94455969238281,50.94855973307292
2023-07-26 14:09:06.542553,3955217.0,3955669.0,48.98279772949219,48.98679772949219,50.94890771484375,50.95290775553385
2023-07-26 14:09:06.546544,3955218.0,3955670.0,48.98715612792969,48.99115616861979,50.95325573730469,50.957255777994796
2023-07-26 14:09:06.550526,3955219.0,3955671.0,48.991493733723956,48.995493774414065,50.957603759765625,50.96160384114584
2023-07-26 14:09:06.555515,3955220.0,3955672.0,48.995841756184895,48.9998418375651,50.96195178222656,50.96595186360677
2023-07-26 14:09:06.559500,3955221.0,3955673.0,49.00018977864583,49.004189860026045,50.966299845377605,50.97029988606771
2023-07-26 14:09:06.563483,3955222.0,3955674.0,49.004537841796875,49.008537882486976,50.97064786783854,50.97464790852865
2023-07-26 14:09:06.568471,3955223.0,3955675.0,49.00888586425781,49.012885904947915,50.974995890299475,50.97899593098958
2023-07-26 14:09:06.572457,3955224.0,3955676.0,49.01323388671875,49.01723392740885,50.97934391276042,50.98334395345052
2023-07-26 14:09:06.577436,3955225.0,3955677.0,49.01758190917968,49.0215819498698,50.98369193522136,50.987692016601564
2023-07-26 14:09:06.581427,3955226.0,3955678.0,49.02192993164063,49.02593001302083,50.988039794921875,50.99203979492187
2023-07-26 14:09:06.585414,3955227.0,3955679.0,49.02627795410156,49.03027803548177,50.9923876546224,50.9963877360026
2023-07-26 14:09:06.590392,3955228.0,3955680.0,49.030625854492186,49.034625854492184,50.99673571777344,51.00073575846354
2023-07-26 14:09:06.594384,3955229.0,3955681.0,49.03497371419271,49.03897375488281,51.00108374023437,51.00508378092448
2023-07-26 14:09:06.598370,3955230.0,3955682.0,49.03932173665365,49.04332177734375,51.005431762695316,51.00943180338542
2023-07-26 14:09:06.603354,3955231.0,3955683.0,49.04366975911458,49.04766979980469,51.00977978515625,51.013779825846356
2023-07-26 14:09:06.607340,3955232.0,3955684.0,49.048017781575524,49.052017822265626,51.014127807617186,51.01812788899739
2023-07-26 14:09:06.611323,3955233.0,3955685.0,49.05236580403646,49.05636588541667,51.018475830078124,51.02247591145833
2023-07-26 14:09:06.616310,3955234.0,3955686.0,49.05671382649739,49.060713907877606,51.022823893229166,51.02682393391927
2023-07-26 14:09:06.620297,3955235.0,3955687.0,49.061061889648435,49.06506193033854,51.027171915690104,51.03117195638021
2023-07-26 14:09:06.625276,3955236.0,3955688.0,49.06540991210938,49.06940995279948,51.03151993815104,51.035519978841144
2023-07-26 14:09:06.629267,3955237.0,3955689.0,49.06975793457031,49.07375797526041,51.03586791992188,51.039867919921875
2023-07-26 14:09:06.633253,3955238.0,3955690.0,49.07410595703125,49.07810599772136,51.04021565755209,51.04421569824219
2023-07-26 14:09:06.638232,3955239.0,3955691.0,49.07845397949219,49.082453979492186,51.04456368001302,51.048563761393225
2023-07-26 14:09:06.642223,3955240.0,3955692.0,49.08280167643229,49.0868017578125,51.04891170247396,51.052911783854164
2023-07-26 14:09:06.646210,3955241.0,3955693.0,49.08714969889323,49.09114978027343,51.053259765625,51.05725980631511
2023-07-26 14:09:06.651194,3955242.0,3955694.0,49.09149776204427,49.09549780273437,51.05760778808593,51.06160782877605
2023-07-26 14:09:06.655180,3955243.0,3955695.0,49.09584578450521,49.09984582519531,51.06195581054688,51.06595585123698
2023-07-26 14:09:06.659162,3955244.0,3955696.0,49.100193806966146,49.104193847656255,51.06630383300781,51.07030387369792
2023-07-26 14:09:06.664150,3955245.0,3955697.0,49.104541829427085,49.108541870117186,51.070651855468746,51.07465193684896
2023-07-26 14:09:06.668137,3955246.0,3955698.0,49.108889851888016,49.112889933268235,51.07501029459636,51.079010375976566
2023-07-26 14:09:06.673120,3955247.0,3955699.0,49.113237874348954,49.117237955729166,51.079347941080734,51.083347981770835
2023-07-26 14:09:06.677106,3955248.0,3955700.0,49.1175859375,49.121585978190105,51.083695963541665,51.08769600423177
2023-07-26 14:09:06.681093,3955249.0,3955701.0,49.12193395996094,49.12593400065104,51.08804370117188,51.092043701171875
2023-07-26 14:09:06.686077,3955250.0,3955702.0,49.12628198242187,49.130282023111974,51.092391682942704,51.09639172363281
2023-07-26 14:09:06.690063,3955251.0,3955703.0,49.13062976074219,49.134629760742186,51.09673970540365,51.10073974609375
2023-07-26 14:09:06.694050,3955252.0,3955704.0,49.13497770182292,49.13897774251302,51.10108772786458,51.105087809244786
2023-07-26 14:09:06.699033,3955253.0,3955705.0,49.13932572428385,49.14332580566406,51.105435750325526,51.10943583170573
2023-07-26 14:09:06.703020,3955254.0,3955706.0,49.14367374674479,49.147673828125,51.10978381347656,51.11378385416667
2023-07-26 14:09:06.707006,3955255.0,3955707.0,49.14802180989584,49.15202185058594,51.1141318359375,51.1181318766276
2023-07-26 14:09:06.711990,3955256.0,3955708.0,49.152369832356776,49.15636987304688,51.11847985839844,51.12247989908854
2023-07-26 14:09:06.715976,3955257.0,3955709.0,49.15671785481771,49.160717895507815,51.122827880859376,51.12682792154948
2023-07-26 14:09:06.720956,3955258.0,3955710.0,49.161065877278645,49.16506591796875,51.127175903320314,51.13117598470052
2023-07-26 14:09:06.724946,3955259.0,3955711.0,49.16541389973958,49.169413981119796,51.13152392578125,51.13552400716146
2023-07-26 14:09:06.728933,3955260.0,3955712.0,49.16976192220052,49.17376200358073,51.13587182617188,51.13987182617188
2023-07-26 14:09:06.733916,3955261.0,3955713.0,49.17410998535156,49.178110026041665,51.140219685872395,51.144219726562504
2023-07-26 14:09:06.737903,3955262.0,3955714.0,49.17845788574219,49.18245788574219,51.144567708333334,51.148567749023435
2023-07-26 14:09:06.741890,3955263.0,3955715.0,49.1828057047526,49.18680574544271,51.148915730794265,51.15291577148437
2023-07-26 14:09:06.746873,3955264.0,3955716.0,49.18715372721354,49.19115376790364,51.15326375325521,51.15726379394531
2023-07-26 14:09:06.750855,3955265.0,3955717.0,49.19150174967448,49.19550179036459,51.15761177571614,51.161611857096354
2023-07-26 14:09:06.754842,3955266.0,3955718.0,49.19584977213541,49.19984985351563,51.16195979817709,51.16595987955729
2023-07-26 14:09:06.759829,3955267.0,3955719.0,49.20020821126302,49.20420829264323,51.16630786132812,51.17030790201823
2023-07-26 14:09:06.763816,3955268.0,3955720.0,49.2045458577474,49.2085458984375,51.17065588378907,51.17465592447917
