Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;593,248;-2826,243;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.100;;
2;593,247;-2826,242;-305,378;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.110;;
3;593,244;-2826,238;-305,375;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.120;;
4;593,241;-2826,238;-305,373;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.130;;
5;593,240;-2826,239;-305,371;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.140;;
6;593,242;-2826,240;-305,371;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.150;;
7;593,243;-2826,240;-305,369;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.160;;
8;593,242;-2826,238;-305,370;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.170;;
9;593,237;-2826,237;-305,372;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.180;;
10;593,233;-2826,239;-305,377;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.190;;
11;593,231;-2826,243;-305,378;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.200;;
12;593,232;-2826,245;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.210;;
13;593,234;-2826,244;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.220;;
14;593,234;-2826,241;-305,376;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.230;;
15;593,234;-2826,240;-305,373;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.240;;
16;593,233;-2826,242;-305,372;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:15:36.250;;
