Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;592,476;-2838,707;-305,478;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.880;;
2;592,475;-2838,707;-305,478;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.890;;
3;592,477;-2838,707;-305,476;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.900;;
4;592,477;-2838,707;-305,476;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.910;;
5;592,477;-2838,707;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.920;;
6;592,478;-2838,706;-305,476;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.930;;
7;592,478;-2838,705;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.940;;
8;592,478;-2838,706;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.950;;
9;592,478;-2838,707;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.960;;
10;592,477;-2838,707;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.970;;
11;592,476;-2838,707;-305,475;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.980;;
12;592,476;-2838,707;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:19.990;;
13;592,476;-2838,708;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.000;;
14;592,477;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.010;;
15;592,477;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.020;;
16;592,477;-2838,706;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.030;;
17;592,478;-2838,706;-305,472;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.040;;
18;592,478;-2838,706;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.050;;
19;592,476;-2838,706;-305,471;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.060;;
20;592,478;-2838,706;-305,472;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.070;;
21;592,476;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.080;;
22;592,476;-2838,708;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.090;;
23;592,475;-2838,708;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.100;;
24;592,476;-2838,707;-305,472;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.110;;
25;592,476;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.120;;
26;592,475;-2838,707;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.130;;
27;592,477;-2838,707;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.140;;
28;592,476;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.150;;
29;592,475;-2838,707;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.160;;
30;592,477;-2838,706;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.170;;
31;592,478;-2838,706;-305,474;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.180;;
32;592,481;-2838,706;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.190;;
33;592,484;-2838,705;-305,473;0,000;0,000;0,000;0,000;RRR 1.5in;23,9;1015;48;'26.07.2023 13:17:20.200;;
