Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;583,834;-2988,494;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.530;;
2;583,833;-2988,495;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.540;;
3;583,833;-2988,495;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.550;;
4;583,834;-2988,495;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.560;;
5;583,834;-2988,494;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.570;;
6;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.580;;
7;583,835;-2988,492;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.590;;
8;583,836;-2988,492;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.600;;
9;583,836;-2988,492;-305,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.610;;
10;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.620;;
11;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.630;;
12;583,834;-2988,494;-305,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.640;;
13;583,833;-2988,494;-305,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.650;;
14;583,833;-2988,494;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.660;;
15;583,833;-2988,494;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.670;;
16;583,833;-2988,494;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.680;;
17;583,834;-2988,494;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.690;;
18;583,834;-2988,494;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.700;;
19;583,834;-2988,493;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.710;;
20;583,836;-2988,493;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.720;;
21;583,834;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.730;;
22;583,836;-2988,492;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.740;;
23;583,833;-2988,493;-305,380;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.750;;
24;583,834;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.760;;
25;583,833;-2988,494;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.770;;
26;583,833;-2988,494;-305,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.780;;
27;583,833;-2988,494;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.790;;
28;583,833;-2988,494;-305,383;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.800;;
29;583,834;-2988,494;-305,382;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.810;;
30;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.820;;
31;583,834;-2988,493;-305,379;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.830;;
32;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.840;;
33;583,835;-2988,492;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.850;;
34;583,835;-2988,493;-305,381;0,000;0,000;0,000;0,000;RRR 1.5in;24,5;1015;46;'26.07.2023 15:50:09.860;;
